episode,step,reward,action,age
0,155,-6.0,[1 0 1 1 1 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,156,-4.0,[0 0 1 0 1 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,157,-2.0,[0 1 1 0 0 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,158,-5.0,[0 1 1 1 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,159,-2.0,[0 0 0 0 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,160,-2.0,[1 0 0 0 0 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,161,-5.0,[0 1 1 1 0 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,162,-4.0,[0 1 1 0 0 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,163,-3.0,[0 0 0 1 0 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,164,-3.0,[0 1 1 0 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,165,-6.0,[1 0 1 1 1 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,166,-3.0,[1 0 0 0 0 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,167,-2.0,[0 0 0 1 0 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,168,-3.0,[0 0 1 1 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,169,-2.0,[0 0 1 1 0 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,170,-4.0,[0 1 0 1 1 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,171,-5.0,[1 0 0 0 1 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,172,-4.0,[0 0 1 1 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,173,-7.0,[1 1 1 1 1 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,174,-5.0,[1 1 1 1 0 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,175,-4.0,[1 0 1 0 1 1 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,176,-2.0,[0 0 1 0 0 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,177,-5.0,[1 0 0 1 0 1 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,178,-5.0,[0 1 1 0 1 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,179,-6.0,[0 1 1 1 1 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,180,-4.0,[1 0 1 1 0 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,181,-5.0,[0 1 1 1 0 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,182,-4.0,[1 1 0 1 0 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,183,-4.0,[1 0 0 0 1 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,184,-1.0,[0 0 0 0 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,185,-4.0,[0 0 1 1 1 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,186,-5.0,[1 1 0 1 0 1 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,187,-4.0,[1 1 0 0 0 0 1 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,188,-7.0,[1 1 1 1 1 1 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,189,-4.0,[0 1 0 1 1 0 1 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,190,-4.0,[1 0 0 1 1 0 0 1],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
0,191,-1.0,[0 0 0 0 1 0 0 0],"[0.         0.18333333 0.01       0.02       0.09       0.12333333
 0.01       0.        ]"
